iter	Passed	Remaining
0	158	158133
1	160	79867
2	161	53770
3	163	40612
4	164	32678
5	165	27381
6	166	23577
7	166	20702
8	167	18458
9	168	16676
10	169	15198
11	169	13966
12	170	12925
13	170	12036
14	171	11258
15	172	10586
16	172	9991
17	173	9456
18	174	8984
19	174	8559
20	175	8173
21	175	7818
22	176	7494
23	177	7204
24	177	6935
25	178	6685
26	179	6452
27	179	6243
28	180	6046
29	181	5862
30	181	5686
31	182	5523
32	183	5371
33	183	5223
34	184	5083
35	184	4952
36	185	4832
37	186	4715
38	186	4607
39	187	4502
40	188	4403
41	188	4310
42	189	4220
43	190	4132
44	190	4048
45	191	3969
46	192	3894
47	192	3822
48	193	3753
49	194	3686
50	194	3622
51	195	3560
52	195	3500
53	196	3444
54	197	3389
55	197	3335
56	198	3283
57	199	3234
58	199	3186
59	200	3139
60	201	3094
61	201	3049
62	202	3006
63	202	2964
64	203	2924
65	203	2885
66	204	2848
67	204	2807
68	205	2773
69	206	2739
70	206	2705
71	207	2672
72	207	2639
73	208	2608
74	209	2578
75	209	2548
76	210	2519
77	210	2491
78	211	2465
79	212	2438
80	212	2412
81	213	2386
82	213	2361
83	214	2337
84	214	2312
85	215	2289
86	215	2264
87	216	2242
88	217	2221
89	217	2200
90	218	2179
91	218	2159
92	219	2139
93	219	2119
94	220	2101
95	221	2082
96	221	2064
97	222	2045
98	222	2027
99	223	2011
100	224	1994
101	224	1975
102	224	1958
103	225	1943
104	226	1927
105	226	1912
106	227	1897
107	227	1882
108	228	1867
109	229	1853
110	229	1838
111	230	1825
112	230	1812
113	231	1799
114	232	1787
115	232	1773
116	233	1760
117	233	1748
118	234	1735
119	235	1723
120	235	1712
121	236	1700
122	236	1687
123	237	1675
124	237	1664
125	238	1653
126	239	1643
127	239	1631
128	240	1620
129	240	1610
130	241	1600
131	241	1590
132	242	1580
133	243	1571
134	243	1561
135	244	1552
136	244	1542
137	245	1532
138	245	1523
139	246	1514
140	247	1505
141	247	1497
142	248	1488
143	248	1479
144	249	1471
145	250	1462
146	250	1454
147	251	1446
148	251	1438
149	252	1430
150	253	1423
151	253	1415
152	254	1407
153	254	1400
154	255	1392
155	256	1385
156	256	1377
157	257	1370
158	257	1363
159	258	1356
160	258	1349
161	260	1346
162	260	1340
163	261	1333
164	262	1327
165	262	1320
166	263	1314
167	264	1307
168	264	1301
169	265	1294
170	265	1288
171	266	1282
172	266	1275
173	267	1269
174	268	1263
175	268	1257
176	269	1251
177	269	1245
178	270	1240
179	270	1234
180	271	1227
181	271	1221
182	272	1216
183	272	1210
184	273	1204
185	273	1198
186	274	1193
187	275	1188
188	275	1182
189	276	1177
190	276	1172
191	277	1167
192	278	1162
193	278	1157
194	279	1152
195	279	1147
196	280	1142
197	280	1137
198	281	1132
199	282	1128
200	282	1123
201	283	1118
202	283	1114
203	284	1109
204	284	1105
205	285	1100
206	286	1096
207	286	1091
208	287	1087
209	287	1083
210	288	1079
211	289	1074
212	289	1070
213	290	1067
214	291	1063
215	291	1059
216	292	1055
217	293	1051
218	293	1047
219	294	1043
220	294	1039
221	295	1035
222	295	1031
223	296	1027
224	297	1023
225	297	1019
226	298	1015
227	298	1011
228	299	1007
229	299	1004
230	300	1000
231	301	996
232	301	992
233	302	989
234	302	985
235	303	982
236	303	978
237	304	975
238	305	971
239	305	968
240	306	964
241	306	961
242	307	958
243	308	954
244	308	951
245	309	948
246	309	944
247	310	941
248	310	937
249	311	934
250	312	931
251	312	928
252	313	925
253	313	922
254	314	918
255	315	915
256	315	912
257	316	909
258	316	906
259	317	903
260	318	900
261	318	897
262	319	894
263	319	891
264	320	888
265	320	885
266	321	882
267	322	879
268	322	876
269	323	874
270	323	871
271	324	868
272	324	865
273	325	862
274	326	859
275	326	856
276	327	854
277	327	851
278	328	848
279	329	846
280	329	843
281	330	840
282	330	837
283	331	835
284	331	832
285	332	829
286	333	827
287	333	824
288	334	822
289	334	819
290	335	817
291	335	814
292	336	812
293	337	809
294	337	806
295	338	804
296	338	801
297	339	799
298	340	797
299	340	794
300	341	792
301	341	789
302	342	787
303	342	785
304	343	782
305	344	780
306	344	778
307	345	775
308	345	773
309	346	771
310	347	768
311	347	766
312	348	764
313	349	763
314	350	761
315	350	758
316	351	756
317	351	754
318	352	751
319	352	749
320	353	747
321	353	745
322	354	743
323	355	740
324	355	738
325	356	736
326	356	734
327	357	732
328	358	730
329	358	728
330	359	725
331	359	723
332	360	721
333	360	719
334	361	717
335	362	715
336	362	713
337	363	712
338	364	710
339	364	708
340	365	706
341	366	704
342	366	702
343	367	700
344	368	698
345	368	697
346	369	695
347	370	693
348	370	691
349	371	689
350	371	687
351	372	685
352	372	683
353	373	681
354	374	679
355	374	677
356	375	676
357	375	674
358	376	672
359	377	670
360	377	668
361	378	666
362	378	664
363	379	662
364	379	660
365	380	658
366	380	657
367	381	655
368	382	653
369	382	651
370	383	649
371	383	648
372	384	646
373	385	644
374	385	642
375	386	641
376	386	639
377	387	637
378	387	635
379	388	633
380	389	632
381	389	630
382	390	628
383	390	627
384	391	625
385	391	623
386	392	621
387	393	620
388	393	618
389	394	616
390	394	615
391	395	613
392	396	611
393	396	610
394	397	608
395	397	606
396	398	605
397	398	603
398	399	601
399	400	600
400	400	598
401	401	596
402	401	595
403	402	593
404	403	592
405	403	591
406	404	589
407	405	587
408	405	586
409	406	584
410	406	583
411	407	581
412	408	580
413	408	578
414	409	576
415	409	575
416	410	573
417	410	572
418	411	570
419	412	569
420	412	567
421	413	566
422	413	564
423	414	563
424	415	561
425	415	560
426	416	558
427	416	557
428	417	555
429	418	554
430	418	552
431	419	551
432	419	549
433	420	548
434	421	546
435	421	545
436	422	543
437	422	542
438	423	540
439	423	539
440	424	538
441	425	536
442	425	535
443	426	533
444	426	532
445	427	531
446	428	529
447	428	528
448	429	526
449	429	525
450	430	523
451	430	522
452	431	520
453	432	519
454	432	518
455	433	516
456	433	515
457	434	514
458	435	512
459	435	511
460	436	509
461	436	508
462	437	507
463	437	505
464	438	504
465	439	503
466	439	501
467	440	500
468	440	498
469	441	497
470	442	496
471	442	495
472	443	493
473	443	492
474	444	491
475	444	489
476	445	488
477	446	487
478	446	485
479	447	484
480	447	483
481	448	481
482	449	480
483	449	479
484	450	478
485	450	476
486	451	475
487	451	474
488	452	472
489	453	471
490	453	470
491	454	469
492	454	467
493	455	466
494	456	465
495	456	463
496	457	462
497	457	461
498	458	460
499	458	458
500	459	457
501	460	456
502	460	455
503	461	454
504	461	452
505	462	451
506	462	450
507	463	448
508	464	447
509	464	446
510	465	445
511	465	443
512	466	442
513	467	441
514	467	440
515	468	439
516	468	437
517	469	436
518	469	435
519	470	434
520	470	432
521	471	431
522	472	430
523	472	429
524	473	428
525	473	426
526	474	425
527	474	424
528	475	423
529	476	422
530	476	421
531	477	419
532	477	418
533	478	417
534	479	416
535	479	415
536	480	414
537	480	412
538	481	411
539	481	410
540	482	409
541	483	408
542	483	407
543	484	405
544	484	404
545	485	403
546	485	402
547	486	401
548	487	400
549	487	399
550	488	397
551	489	396
552	489	395
553	490	394
554	490	393
555	491	392
556	492	391
557	492	390
558	493	389
559	493	388
560	494	386
561	495	385
562	495	384
563	496	383
564	496	382
565	497	381
566	497	380
567	498	379
568	499	378
569	499	376
570	500	375
571	500	374
572	501	373
573	501	372
574	502	371
575	503	370
576	504	369
577	504	368
578	505	367
579	506	366
580	506	365
581	507	364
582	508	363
583	508	362
584	509	361
585	509	360
586	510	359
587	511	358
588	511	357
589	512	355
590	512	354
591	513	353
592	513	352
593	514	351
594	515	350
595	515	349
596	516	348
597	516	347
598	517	346
599	517	345
600	518	344
601	519	343
602	519	342
603	520	341
604	520	340
605	521	339
606	522	338
607	522	336
608	523	335
609	523	334
610	524	333
611	525	332
612	525	331
613	526	330
614	526	329
615	527	328
616	527	327
617	528	326
618	528	325
619	529	324
620	530	323
621	530	322
622	531	321
623	531	320
624	532	319
625	532	318
626	533	317
627	533	316
628	534	315
629	535	314
630	535	313
631	536	312
632	537	311
633	537	310
634	538	309
635	538	308
636	539	307
637	540	306
638	540	305
639	541	304
640	541	303
641	542	302
642	542	301
643	543	300
644	544	299
645	544	298
646	545	297
647	546	296
648	546	295
649	547	294
650	547	293
651	548	292
652	549	291
653	549	290
654	550	289
655	551	289
656	551	288
657	552	287
658	553	286
659	553	285
660	554	284
661	554	283
662	555	282
663	556	281
664	556	280
665	557	279
666	557	278
667	558	277
668	559	276
669	559	275
670	560	274
671	561	273
672	561	272
673	562	271
674	562	270
675	563	270
676	563	269
677	564	268
678	564	267
679	565	266
680	566	265
681	566	264
682	567	263
683	567	262
684	568	261
685	569	260
686	569	259
687	570	258
688	570	257
689	571	256
690	571	255
691	572	254
692	573	253
693	575	253
694	575	252
695	576	251
696	576	250
697	577	249
698	578	248
699	578	247
700	579	247
701	579	246
702	580	245
703	580	244
704	581	243
705	581	242
706	583	241
707	583	240
708	584	239
709	584	238
710	585	238
711	586	237
712	586	236
713	587	235
714	587	234
715	588	233
716	589	232
717	589	231
718	590	230
719	590	229
720	591	228
721	592	228
722	592	227
723	593	226
724	593	225
725	594	224
726	595	223
727	595	222
728	596	221
729	596	220
730	597	219
731	597	218
732	598	218
733	599	217
734	599	216
735	600	215
736	600	214
737	601	213
738	602	212
739	603	212
740	604	211
741	604	210
742	605	209
743	605	208
744	606	207
745	606	206
746	607	205
747	608	204
748	608	203
749	609	203
750	609	202
751	610	201
752	610	200
753	611	199
754	612	198
755	612	197
756	613	196
757	614	196
758	614	195
759	615	194
760	615	193
761	616	192
762	617	191
763	617	190
764	618	189
765	618	189
766	619	188
767	619	187
768	620	186
769	621	185
770	621	184
771	622	183
772	622	182
773	623	182
774	624	181
775	624	180
776	625	179
777	625	178
778	626	177
779	626	176
780	627	175
781	628	175
782	628	174
783	629	173
784	629	172
785	630	171
786	631	170
787	632	170
788	632	169
789	633	168
790	634	167
791	635	166
792	635	165
793	636	165
794	636	164
795	637	163
796	638	162
797	638	161
798	639	160
799	640	160
800	640	159
801	641	158
802	641	157
803	642	156
804	643	155
805	643	154
806	644	154
807	644	153
808	645	152
809	646	151
810	646	150
811	647	149
812	647	149
813	648	148
814	649	147
815	649	146
816	650	145
817	650	144
818	651	143
819	652	143
820	652	142
821	653	141
822	654	140
823	654	139
824	655	139
825	656	138
826	656	137
827	657	136
828	657	135
829	658	134
830	659	134
831	659	133
832	660	132
833	661	131
834	661	130
835	662	129
836	662	129
837	663	128
838	663	127
839	664	126
840	664	125
841	665	124
842	665	124
843	666	123
844	666	122
845	667	121
846	668	120
847	668	119
848	669	119
849	669	118
850	670	117
851	670	116
852	671	115
853	672	114
854	672	114
855	673	113
856	673	112
857	674	111
858	674	110
859	675	109
860	675	109
861	676	108
862	676	107
863	677	106
864	677	105
865	678	104
866	679	104
867	679	103
868	680	102
869	680	101
870	681	100
871	681	100
872	682	99
873	683	98
874	683	97
875	684	96
876	685	96
877	685	95
878	686	94
879	686	93
880	687	92
881	688	92
882	688	91
883	689	90
884	689	89
885	690	88
886	690	87
887	691	87
888	691	86
889	692	85
890	692	84
891	693	83
892	693	83
893	694	82
894	694	81
895	695	80
896	695	79
897	696	79
898	697	78
899	698	77
900	698	76
901	699	75
902	699	75
903	700	74
904	700	73
905	701	72
906	701	71
907	702	71
908	703	70
909	703	69
910	704	68
911	704	67
912	705	67
913	705	66
914	706	65
915	706	64
916	707	64
917	707	63
918	708	62
919	708	61
920	709	60
921	709	60
922	710	59
923	710	58
924	711	57
925	712	56
926	713	56
927	713	55
928	714	54
929	715	53
930	716	53
931	716	52
932	717	51
933	718	50
934	718	49
935	719	49
936	720	48
937	720	47
938	721	46
939	721	46
940	722	45
941	722	44
942	723	43
943	723	42
944	724	42
945	725	41
946	726	40
947	726	39
948	727	39
949	727	38
950	728	37
951	728	36
952	729	35
953	730	35
954	730	34
955	731	33
956	731	32
957	732	32
958	732	31
959	733	30
960	733	29
961	734	29
962	734	28
963	735	27
964	735	26
965	736	25
966	736	25
967	737	24
968	737	23
969	738	22
970	738	22
971	739	21
972	740	20
973	741	19
974	741	19
975	742	18
976	743	17
977	743	16
978	744	15
979	744	15
980	745	14
981	746	13
982	746	12
983	747	12
984	747	11
985	748	10
986	748	9
987	749	9
988	749	8
989	750	7
990	750	6
991	751	6
992	751	5
993	752	4
994	753	3
995	753	3
996	754	2
997	754	1
998	755	0
999	755	0
