iter	Passed	Remaining
0	133	133286
1	134	66988
2	135	44939
3	136	33894
4	137	27270
5	137	22840
6	138	19678
7	139	17303
8	140	15442
9	141	13964
10	141	12754
11	142	11738
12	143	10883
13	144	10173
14	145	9538
15	146	8991
16	146	8498
17	147	8069
18	148	7680
19	149	7323
20	150	6995
21	150	6712
22	151	6447
23	152	6208
24	153	5982
25	154	5773
26	154	5582
27	155	5403
28	156	5235
29	157	5078
30	157	4937
31	158	4799
32	159	4672
33	160	4552
34	160	4437
35	161	4329
36	162	4225
37	163	4130
38	164	4045
39	164	3955
40	165	3870
41	166	3790
42	166	3712
43	167	3637
44	168	3568
45	168	3501
46	169	3436
47	170	3375
48	170	3316
49	171	3259
50	172	3204
51	172	3150
52	173	3098
53	174	3049
54	174	3003
55	175	2959
56	176	2916
57	176	2873
58	177	2836
59	178	2796
60	179	2757
61	179	2720
62	180	2685
63	181	2649
64	181	2615
65	182	2583
66	183	2553
67	184	2522
68	184	2492
69	185	2464
70	186	2435
71	186	2407
72	187	2379
73	188	2354
74	188	2327
75	189	2303
76	190	2277
77	190	2255
78	191	2233
79	192	2211
80	192	2188
81	193	2168
82	194	2144
83	194	2124
84	195	2104
85	196	2085
86	196	2066
87	197	2047
88	198	2028
89	198	2010
90	199	1993
91	200	1975
92	200	1959
93	201	1942
94	202	1926
95	202	1910
96	203	1894
97	204	1879
98	204	1863
99	205	1849
100	206	1835
101	206	1820
102	207	1806
103	208	1792
104	208	1778
105	209	1765
106	209	1752
107	210	1739
108	211	1727
109	212	1715
110	212	1703
111	213	1691
112	213	1679
113	214	1667
114	215	1656
115	215	1645
116	216	1633
117	216	1621
118	217	1610
119	218	1599
120	218	1589
121	219	1578
122	219	1568
123	220	1558
124	221	1548
125	221	1538
126	222	1527
127	222	1517
128	223	1508
129	224	1499
130	224	1490
131	225	1485
132	226	1476
133	227	1468
134	228	1460
135	228	1453
136	229	1445
137	230	1438
138	230	1430
139	231	1422
140	232	1415
141	232	1406
142	233	1398
143	233	1390
144	234	1383
145	235	1375
146	235	1368
147	236	1360
148	237	1353
149	237	1346
150	238	1340
151	238	1333
152	239	1327
153	240	1321
154	241	1314
155	241	1308
156	242	1302
157	243	1295
158	243	1290
159	244	1284
160	245	1276
161	245	1270
162	246	1264
163	246	1258
164	247	1252
165	248	1246
166	248	1240
167	249	1235
168	250	1229
169	250	1224
170	251	1218
171	251	1212
172	252	1207
173	253	1202
174	253	1197
175	254	1191
176	255	1186
177	255	1181
178	256	1177
179	257	1172
180	258	1167
181	258	1163
182	259	1158
183	259	1152
184	260	1148
185	261	1143
186	261	1138
187	262	1133
188	263	1128
189	263	1124
190	264	1119
191	265	1115
192	265	1110
193	266	1106
194	266	1101
195	267	1098
196	268	1094
197	268	1089
198	269	1084
199	270	1080
200	270	1076
201	271	1072
202	272	1069
203	272	1065
204	273	1061
205	274	1056
206	274	1052
207	275	1048
208	275	1044
209	276	1040
210	277	1036
211	278	1034
212	278	1030
213	279	1026
214	280	1023
